Data File:,'13211526 NB SB2 2391N.rdf'
Site Code:,'17C NB SB2'
Start Date:,6/11/2015
Start Time:,12:00:00 AM
Sensor Layout:,'51'
Sensor Spacing:,'6.0'
,
,
,

Vehicle,Channel,Date/Time,Axles,Rule,Class,Speed (mph),Gap,Headway,Acceleration,Spacing (ft.)
174,NB,6/11/2015 4:58:11.918,5,613,9,45.17,248.28,248.50,-1.08,10.23,3.34,22.77,7.54
175,NB,6/11/2015 4:59:13.317,2,600,5,18.17,60.74,61.40,-0.38,13.68
176,NB,6/11/2015 4:59:18.686,4,587,2,45.35,4.85,5.37,0.28,9.74,30.90,3.12
177,NB,6/11/2015 4:59:18.881,2,592,4,45.53,0.00,0.20,1.20,24.46
178,NB,6/11/2015 4:59:22.846,5,613,9,41.89,3.60,3.96,-0.65,12.40,3.37,24.89,3.06
179,NB,6/11/2015 5:02:33.018,3,582,1,12.88,189.46,190.17,-1.38,5.13,5.12
180,NB,6/11/2015 5:02:33.241,3,589,3,28.52,0.00,0.22,-0.48,11.09,12.05
181,NB,6/11/2015 5:03:05.997,2,600,5,17.84,32.20,32.76,-0.72,13.64
182,NB,6/11/2015 5:03:06.183,3,607,8,45.23,0.00,0.19,0.35,25.54,20.66
183,SB2,6/11/2015 5:04:08.530,2,583,2,66.49,1005.29,1005.39,-3.78,6.77
184,NB,6/11/2015 5:04:57.008,2,583,2,46.87,110.13,110.83,1.48,9.18
185,NB,6/11/2015 5:04:57.186,2,592,4,45.29,0.04,0.18,6.05,25.29
186,NB,6/11/2015 5:06:32.124,2,588,3,46.10,94.56,94.94,1.23,10.50
187,NB,6/11/2015 5:06:32.517,2,583,2,46.35,0.24,0.39,-1.18,7.34
188,NB,6/11/2015 5:06:32.875,3,584,2,46.68,0.25,0.36,-0.91,7.26,16.68
189,NB,6/11/2015 5:12:49.111,3,582,1,13.85,375.88,376.24,-1.15,5.23,5.16
190,NB,6/11/2015 5:12:49.318,3,589,3,29.24,0.00,0.21,1.58,10.81,11.85
191,NB,6/11/2015 5:23:13.393,2,583,2,54.76,623.56,624.07,-7.19,6.88
192,NB,6/11/2015 5:25:41.617,2,583,2,53.62,148.14,148.22,2.20,6.15
193,SB2,6/11/2015 5:28:43.865,3,605,8,43.58,1475.27,1475.33,-0.97,12.59,13.23
194,NB,6/11/2015 5:29:24.745,2,581,1,11.50,223.05,223.13,-3.98,4.52
195,NB,6/11/2015 5:29:24.959,2,592,4,44.56,0.00,0.21,-2.74,25.91
196,NB,6/11/2015 5:30:28.369,4,609,8,49.72,63.01,63.41,0.13,12.24,25.60,4.68
197,SB2,6/11/2015 5:33:35.584,2,583,2,45.17,291.31,291.72,-0.41,9.74
198,SB2,6/11/2015 5:33:35.978,3,584,2,45.23,0.25,0.39,0.18,6.86,16.04
199,NB,6/11/2015 5:35:00.391,2,583,2,51.01,271.44,272.02,-6.24,7.32
200,SB2,6/11/2015 5:35:33.076,2,583,2,63.11,116.75,117.10,-1.66,6.60
201,NB,6/11/2015 5:37:17.234,7,623,10,47.40,136.74,136.84,-0.94,9.27,5.99,26.23,3.95,3.94,4.18
202,NB,6/11/2015 5:37:20.989,2,600,5,16.64,2.99,3.75,-0.09,13.94
203,NB,6/11/2015 5:37:21.191,3,607,8,42.21,0.00,0.20,-0.07,25.98,20.27
204,NB,6/11/2015 5:37:37.070,2,600,5,17.90,15.13,15.88,-0.36,13.88
205,NB,6/11/2015 5:37:37.255,3,607,8,45.47,0.00,0.18,0.27,26.09,20.64
206,SB2,6/11/2015 5:40:37.539,2,583,2,56.80,304.39,304.46,-8.40,6.57
207,NB,6/11/2015 5:41:04.513,3,582,1,12.89,206.56,207.26,-0.68,5.18,5.09
208,NB,6/11/2015 5:41:04.737,3,589,3,28.50,0.00,0.22,2.11,11.01,11.95
209,SB2,6/11/2015 5:45:00.355,2,583,2,65.45,262.74,262.82,-11.03,6.56
210,NB,6/11/2015 5:47:54.025,2,600,5,27.79,408.75,409.29,0.94,19.45
211,NB,6/11/2015 5:50:08.495,2,600,5,19.35,134.00,134.47,1.45,15.55
212,NB,6/11/2015 5:50:08.662,2,592,4,45.60,0.00,0.17,0.72,28.95
213,NB,6/11/2015 5:51:02.376,2,583,2,45.17,53.28,53.71,-4.56,6.96
214,NB,6/11/2015 5:52:46.893,2,583,2,49.65,104.41,104.52,-4.80,6.60
215,NB,6/11/2015 5:52:54.981,5,613,9,42.10,8.00,8.09,-0.64,13.97,3.41,19.74,3.25
216,NB,6/11/2015 5:56:49.157,2,583,2,49.87,233.52,234.18,-4.91,8.69
217,SB2,6/11/2015 5:57:22.369,2,583,2,51.56,741.95,742.01,-4.68,7.58
218,NB,6/11/2015 5:57:34.301,5,613,9,46.16,45.02,45.14,1.09,13.15,3.36,20.25,3.76
219,SB2,6/11/2015 5:58:59.126,2,588,3,48.71,96.66,96.76,0.84,12.03
220,NB,6/11/2015 5:59:27.321,2,583,2,49.14,112.43,113.02,-6.37,7.20
221,NB,6/11/2015 5:59:38.440,2,588,3,54.40,11.02,11.12,3.30,10.80
222,NB,6/11/2015 5:59:48.843,5,613,9,45.17,10.27,10.40,0.18,13.20,3.36,26.27,3.12
223,NB,6/11/2015 6:03:15.460,2,588,3,48.92,205.93,206.62,2.88,10.80
224,NB,6/11/2015 6:03:26.421,2,600,5,30.44,10.81,10.96,0.00,16.43
225,NB,6/11/2015 6:03:59.961,2,583,2,48.29,33.17,33.54,-5.53,7.87
226,NB,6/11/2015 6:04:02.176,2,583,2,49.94,2.10,2.22,-5.68,7.55
227,NB,6/11/2015 6:08:17.542,2,600,5,44.98,255.26,255.37,0.23,17.12
228,NB,6/11/2015 6:08:35.845,2,600,5,30.22,18.04,18.30,-0.65,16.49
229,SB2,6/11/2015 6:12:07.911,2,583,2,58.08,788.62,788.79,-7.42,6.83
230,NB,6/11/2015 6:13:05.527,2,583,2,49.72,269.31,269.68,-5.24,7.07
231,SB2,6/11/2015 6:13:30.119,2,583,2,55.85,82.13,82.21,-2.53,8.99
232,SB2,6/11/2015 6:13:33.167,3,585,2,51.56,2.94,3.05,-0.86,9.57,11.28
233,NB,6/11/2015 6:14:55.247,2,600,5,47.07,109.62,109.72,2.33,17.93
234,SB2,6/11/2015 6:15:02.416,2,583,2,55.21,88.97,89.25,-5.64,8.99
235,NB,6/11/2015 6:15:06.359,2,583,2,48.64,10.85,11.11,-4.51,8.77
236,SB2,6/11/2015 6:15:18.375,2,583,2,55.30,15.85,15.96,-3.26,8.98
237,NB,6/11/2015 6:16:06.215,2,583,2,53.88,59.73,59.86,-9.13,6.60
238,NB,6/11/2015 6:16:10.126,2,581,1,17.62,3.83,3.91,-2.34,5.10
239,NB,6/11/2015 6:16:10.278,2,583,2,32.10,0.00,0.15,2.94,9.63
240,NB,6/11/2015 6:16:10.743,2,588,3,49.65,0.26,0.47,4.52,12.11
241,NB,6/11/2015 6:18:39.263,2,583,2,51.88,148.35,148.52,-8.12,6.64
242,NB,6/11/2015 6:20:11.336,2,600,5,17.55,91.99,92.07,-1.97,15.86
243,NB,6/11/2015 6:20:11.484,3,605,8,31.80,0.00,0.15,0.61,10.42,20.07
244,SB2,6/11/2015 6:21:20.815,2,588,3,53.45,362.33,362.44,-1.26,10.56
245,NB,6/11/2015 6:24:00.365,3,605,8,27.77,228.23,228.88,-0.04,13.36,11.22
246,NB,6/11/2015 6:24:00.741,2,592,4,82.95,0.00,0.38,11.61,34.17
247,NB,6/11/2015 6:25:13.998,2,583,2,47.81,72.98,73.26,-5.47,6.88
248,NB,6/11/2015 6:27:00.448,2,583,2,44.68,106.35,106.45,-3.19,7.27
249,NB,6/11/2015 6:27:21.572,2,583,2,42.47,21.01,21.12,-4.75,6.92
250,NB,6/11/2015 6:27:57.974,2,583,2,55.12,36.29,36.40,-8.82,6.52
251,NB,6/11/2015 6:29:14.091,2,600,5,46.55,76.04,76.12,4.19,12.95
252,NB,6/11/2015 6:29:14.328,2,592,4,46.74,0.05,0.24,-0.62,21.34
253,NB,6/11/2015 6:29:22.347,2,592,4,50.17,7.71,8.02,0.00,25.82
254,NB,6/11/2015 6:29:25.168,2,583,2,46.55,2.47,2.82,-3.98,8.73
255,NB,6/11/2015 6:32:36.449,2,583,2,48.92,191.15,191.28,-4.87,7.25
256,NB,6/11/2015 6:33:05.671,3,584,2,52.28,29.12,29.22,1.12,8.09,14.32
257,NB,6/11/2015 6:36:49.545,2,583,2,48.85,223.58,223.87,1.08,9.47
258,NB,6/11/2015 6:36:57.817,2,583,2,50.47,8.14,8.27,-2.25,7.45
