Data File:,'13211515 WB EB 2 2392N.rdf'
Site Code:,'13211515 WB EB 2'
Start Date:,5/28/2015
Start Time:,12:00:00 AM
Sensor Layout:,'51'
Sensor Spacing:,'6.0'
,
,
,

Vehicle,Channel,Date/Time,Axles,Rule,Class,Speed (mph),Gap,Headway,Acceleration,Spacing (ft.)
155,WB,5/28/2015 6:34:49.311,8,636,13,64.57,74.63,74.77,1.12,19.45,4.57,14.44,4.57,32.23,4.87,16.94
156,WB,5/28/2015 6:35:04.838,2,600,5,61.60,14.51,15.53,0.82,12.56
157,WB,5/28/2015 6:35:10.055,2,583,2,59.00,5.08,5.22,2.88,9.44
158,EB 2,5/28/2015 6:35:56.413,2,600,5,64.45,155.46,155.56,-3.99,14.47
159,WB,5/28/2015 6:36:36.913,2,583,2,63.35,86.75,86.86,-16.26,8.58
160,WB,5/28/2015 6:36:58.230,2,583,2,62.52,21.22,21.32,-12.22,8.52
161,WB,5/28/2015 6:37:00.929,2,583,2,62.52,2.61,2.70,-5.60,7.56
162,WB,5/28/2015 6:37:05.162,2,588,3,63.71,4.15,4.23,0.00,11.49
163,WB,5/28/2015 6:37:16.342,2,588,3,69.96,11.06,11.18,4.18,10.85
164,WB,5/28/2015 6:37:21.230,2,588,3,72.23,4.78,4.89,-7.19,11.29
165,EB 2,5/28/2015 6:38:45.602,2,583,2,65.58,169.04,169.19,-12.15,8.91
166,WB,5/28/2015 6:38:53.888,2,583,2,64.57,92.55,92.66,-8.36,6.94
167,WB,5/28/2015 6:39:37.274,2,600,5,63.96,43.31,43.39,-2.63,12.93
168,WB,5/28/2015 6:41:21.743,3,605,8,60.93,104.33,104.47,0.00,14.00,14.02
169,WB,5/28/2015 6:41:39.703,2,588,3,60.38,17.65,17.96,0.81,11.88
170,WB,5/28/2015 6:41:42.242,2,588,3,60.82,2.41,2.54,-2.67,10.97
171,WB,5/28/2015 6:42:54.710,2,583,2,61.60,72.34,72.47,-11.74,8.48
172,WB,5/28/2015 6:43:15.128,4,608,8,59.74,20.32,20.42,1.65,18.56,4.39,29.00
173,WB,5/28/2015 6:43:38.635,3,584,2,63.96,22.92,23.51,4.45,6.65,11.40
174,WB,5/28/2015 6:43:41.611,2,583,2,67.98,2.78,2.98,-12.44,8.63
175,WB,5/28/2015 6:44:04.612,3,601,6,65.84,22.91,23.00,9.80,15.25,4.73
176,WB,5/28/2015 6:44:20.365,2,588,3,61.04,15.55,15.75,3.92,10.28
177,WB,5/28/2015 6:44:22.012,2,588,3,62.88,1.53,1.65,-0.91,11.87
178,WB,5/28/2015 6:44:48.721,2,588,3,63.35,26.58,26.71,-1.86,11.92
179,WB,5/28/2015 6:45:22.837,6,620,10,62.64,33.99,34.12,0.17,19.90,4.61,19.01,15.68,3.84
180,WB,5/28/2015 6:45:25.899,2,583,2,61.15,2.38,3.06,-7.01,8.43
181,WB,5/28/2015 6:45:33.770,2,583,2,59.74,7.78,7.87,-29.75,6.23
182,WB,5/28/2015 6:46:35.908,5,613,9,57.38,62.07,62.14,0.66,18.70,4.31,23.78,4.17
