  Data For Station: 43050050M,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,Date,Time,Lane,Speed,Axles,Length,A Bin,S Bin,L Bin,G Bin,H Bin,1_2,2_3,3_4,4_5,5_6,6_7,7_8,8_9,9_10,10_11,11_12,12_13,13 - 14,14 - 15,15 - 16,L1 Class,Mods,ID64,ID16,Samp,Change,L2 Class,Mods,ID64,ID16,Samp,Change,S.V.M.
,7/12/2014,5:12:43.62,1,56,2,8.9,2,7,2,8,8,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:13:22.34,1,59.8,2,9.7,2,9,2,8,8,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:16:20.24,1,56,2,11.7,3,10,2,8,8,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:16:34.89,1,66.8,2,8.3,2,11,2,8,8,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:18:12.00,1,45.9,2,8.2,2,9,2,7,7,8.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:18:29.75,1,55.7,2,9.4,2,10,2,8,8,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:19:16.05,1,58.2,2,10.2,3,10,2,8,8,10.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:20:31.73,1,45.7,2,8.9,2,8,2,6,6,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:21:58.54,1,56.6,2,8.3,2,10,2,5,5,8.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:22:02.84,1,57.5,2,8.6,2,10,2,1,1,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:22:11.58,1,54.6,2,8.8,2,10,2,5,5,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:23:17.56,1,56.7,2,8,2,10,2,8,8,8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:24:20.33,1,55.7,2,9.9,2,11,2,7,7,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:25:36.82,1,56.9,2,9.9,2,9,2,6,6,9.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:25:49.57,1,58.8,2,9,2,10,2,8,8,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:26:29.80,1,25.8,2,8.6,2,12,2,8,8,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:29:02.76,1,52.3,2,12.9,3,9,2,8,8,12.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:29:57.69,1,58.2,2,8.8,2,11,2,2,2,8.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:29:58.44,1,0,5,63.7,9,7,5,7,7,18.2,4.3,31.2,10,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:30:12.82,1,56,5,58.5,9,9,5,8,8,18.1,4.3,32,4.1,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:33:02.11,1,59.8,2,9.2,2,9,2,8,8,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:33:10.87,1,56.4,2,9.2,2,10,2,1,1,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:33:17.07,1,59.5,2,9.4,2,10,2,1,1,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:33:23.59,1,56.9,2,10.9,3,11,2,8,8,10.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:33:34.95,1,56,5,48.5,9,7,5,7,7,12.1,4.4,27.9,4,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:33:40.30,1,58.8,2,10.8,3,7,2,1,1,10.8,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:33:40.91,1,58.2,2,8.4,2,7,2,1,1,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:33:45.61,1,57.3,2,9.2,2,9,2,3,3,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:33:46.38,1,58.5,2,9.3,2,10,2,7,7,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:34:57.30,1,52.3,2,11.9,3,9,2,6,6,11.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:35:07.84,1,64,2,9.4,2,8,2,8,8,9.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:35:14.06,1,63.3,2,13.2,3,9,2,8,8,13.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:35:18.43,1,62.5,2,8.1,2,9,2,6,6,8.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:35:26.15,1,62.6,2,12.1,3,10,2,6,6,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:36:16.72,1,51.3,3,25.1,3,9,3,5,5,10.9,14.2,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:36:32.36,1,59.8,2,11.4,3,10,2,7,7,11.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:36:51.91,1,55.5,2,10,3,11,2,6,6,10,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:37:18.18,1,53.8,2,8.5,2,8,2,6,6,8.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:37:31.92,1,52.3,5,38.1,9,10,4,4,4,11.4,4.3,18.3,4.1,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:39:04.44,1,61.5,2,8.9,2,10,2,1,1,8.9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:39:53.25,1,59.2,2,11.3,3,10,2,2,2,11.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:40:13.15,1,64.4,2,8.6,2,10,2,8,8,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:40:31.32,1,58.8,2,8.6,2,9,2,7,7,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:43:50.80,1,49,5,58.2,9,9,5,6,6,17,4.3,32.9,4,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:43:53.48,1,43.2,5,64.7,9,9,5,2,2,17.6,4.3,32.7,10,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:44:15.63,1,58.2,2,8.6,2,11,2,8,8,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:44:17.73,1,58.2,2,9,2,11,2,5,5,9,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:44:51.62,1,54.9,5,60.2,9,8,5,7,7,17.3,4.3,34.5,4.1,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:45:15.13,1,58.2,2,9.1,2,8,2,8,8,9.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:46:12.65,1,59.2,2,9.3,2,10,2,8,8,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:46:24.05,1,62.2,2,8.6,2,11,2,2,2,8.6,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:46:34.45,1,61.8,2,9.5,2,12,2,7,7,9.5,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:46:57.57,1,56.9,2,9.3,2,10,2,8,8,9.3,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:47:27.27,1,54.4,2,12.1,3,10,2,8,8,12.1,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:47:29.39,1,54.6,2,9.2,2,10,2,6,6,9.2,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:47:34.99,1,57.8,2,12.7,3,9,2,8,8,12.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:47:38.30,1,59.7,2,8.4,2,10,2,8,8,8.4,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:48:56.01,1,49.6,2,13,3,9,2,4,4,13,,,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:49:30.41,1,60.5,6,31.7,14,8,3,8,8,6.8,4.7,3.8,4.4,11.9,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:50:49.00,1,53,4,30.7,3,9,3,2,2,12.9,14.9,2.8,,,,,,,,,,,,,,,,,,,,,,,,,
,7/12/2014,5:51:29.64,1,62.2,2,11.7,3,9,2,1,1,11.7,,,,,,,,,,,,,,,,,,,,,,,,,,,
