Data File:,'13211528 SB 2388N.rdf'
Site Code:,'17E SB1 SB2'
Start Date:,6/11/2015
Start Time:,12:00:00 AM
Sensor Layout:,'51'
Sensor Spacing:,'6.0'
,
,
,

Vehicle,Channel,Date/Time,Axles,Rule,Class,Speed (mph),Gap,Headway,Acceleration,Spacing (ft.)
157,SB2,6/11/2015 5:45:17.685,2,583,2,82.95,260.95,261.03,-13.63,9.00
158,SB1,6/11/2015 5:45:18.311,3,605,8,62.52,88.92,89.60,-0.20,14.19,38.32
159,SB1,6/11/2015 5:46:51.222,6,617,10,56.61,92.34,92.91,1.81,16.27,3.67,4.31,29.70,3.93
160,SB1,6/11/2015 5:47:35.521,6,630,12,60.38,43.60,44.30,0.43,13.25,22.34,9.37,4.06,18.93
161,SB1,6/11/2015 5:48:19.228,2,592,4,58.59,42.94,43.71,3.41,21.11
162,SB1,6/11/2015 5:48:19.520,3,593,4,57.09,0.05,0.29,5.31,30.44,3.74
163,SB1,6/11/2015 5:48:34.974,3,585,2,71.30,15.05,15.45,0.54,9.34,20.02
164,SB1,6/11/2015 5:50:40.689,5,613,9,60.93,125.43,125.72,-3.45,11.66,4.35,30.79,3.96
165,SB1,6/11/2015 5:51:21.864,7,622,10,64.32,40.62,41.18,-5.70,15.86,4.10,4.51,27.79,4.16,4.17
166,SB1,6/11/2015 5:53:00.479,5,613,9,66.10,97.96,98.61,-1.71,18.78,4.35,38.23,4.14
167,SB1,6/11/2015 5:57:18.960,2,581,1,74.97,257.81,258.48,-73.06,4.73
168,SB1,6/11/2015 5:57:19.050,2,581,1,72.54,0.05,0.09,-67.55,4.86
169,SB1,6/11/2015 5:57:43.279,3,582,1,67.16,24.18,24.23,-12.16,4.26,6.19
170,SB1,6/11/2015 5:57:46.518,2,600,5,58.59,3.13,3.24,6.62,13.66
171,SB1,6/11/2015 5:57:46.719,2,592,4,31.62,0.04,0.20,-2.79,25.32
172,SB2,6/11/2015 5:59:21.423,2,600,5,67.29,843.66,843.74,0.81,16.53
173,SB1,6/11/2015 6:03:06.178,6,630,12,66.63,318.90,319.46,-1.81,13.79,22.68,9.67,4.38,18.69
174,SB1,6/11/2015 6:07:19.705,2,583,2,70.40,252.81,253.53,-19.24,9.18
175,SB1,6/11/2015 6:09:25.777,6,629,12,59.95,125.98,126.07,0.48,12.66,27.44,4.06,12.40,23.50
176,SB1,6/11/2015 6:12:26.655,3,582,1,74.31,179.97,180.88,-11.61,5.21,5.27
177,SB1,6/11/2015 6:12:32.278,5,627,11,36.19,5.53,5.62,-0.44,7.63,13.23,19.95,19.42
178,SB1,6/11/2015 6:12:32.465,2,600,5,14.81,0.00,0.19,-3.26,14.35
179,SB1,6/11/2015 6:12:32.720,2,600,5,29.92,0.00,0.25,2.66,16.68
180,SB1,6/11/2015 6:13:49.235,2,600,5,78.85,76.14,76.51,-6.85,12.35
181,SB1,6/11/2015 6:13:52.697,4,586,2,36.87,3.35,3.46,-0.21,9.01,19.54,2.41
182,SB1,6/11/2015 6:13:52.740,2,592,4,21.82,0.00,0.04,-2.29,25.15
183,SB2,6/11/2015 6:15:21.562,2,600,5,80.56,959.97,960.14,-1.82,12.51
184,SB1,6/11/2015 6:15:40.397,2,592,4,66.36,106.84,107.66,-1.64,23.22
185,SB1,6/11/2015 6:18:20.831,2,583,2,68.67,160.19,160.43,-11.50,9.62
186,SB1,6/11/2015 6:21:40.510,2,600,5,75.99,199.58,199.68,2.68,14.44
187,SB1,6/11/2015 6:21:43.939,5,613,9,62.29,3.30,3.43,-0.98,12.75,4.14,33.01,4.24
188,SB1,6/11/2015 6:22:32.653,3,582,1,72.38,48.13,48.71,-21.49,4.82,4.74
189,SB1,6/11/2015 6:22:47.426,6,618,10,66.63,14.68,14.77,-1.95,18.84,4.35,33.69,4.16,4.26
190,SB1,6/11/2015 6:24:24.575,2,600,5,62.64,96.48,97.15,11.85,15.20
191,SB1,6/11/2015 6:24:27.850,2,588,3,35.35,3.11,3.27,3.58,10.01
192,SB1,6/11/2015 6:24:27.897,2,592,4,13.13,0.00,0.05,1.27,38.10
193,SB1,6/11/2015 6:28:18.104,4,610,8,62.29,228.36,230.21,-1.85,13.20,32.82,3.95
194,SB1,6/11/2015 6:30:58.753,5,613,9,62.29,160.10,160.65,1.50,14.06,4.24,27.33,4.38
195,SB1,6/11/2015 6:33:39.530,5,603,7,64.95,160.23,160.78,-12.81,10.14,4.26,3.97,4.52
196,SB1,6/11/2015 6:33:39.965,3,593,4,68.39,0.19,0.44,-6.41,24.99,4.18
197,SB1,6/11/2015 6:34:02.332,2,581,1,81.74,22.07,22.37,-56.61,5.24
198,SB1,6/11/2015 6:35:01.516,2,600,5,73.82,59.14,59.18,-5.76,15.04
199,SB1,6/11/2015 6:35:23.719,7,623,10,62.76,22.06,22.20,-0.65,16.84,4.71,33.83,4.05,4.31,4.20
200,SB1,6/11/2015 6:36:14.278,2,592,4,57.58,49.84,50.56,2.23,22.83
201,SB1,6/11/2015 6:37:53.068,2,583,2,64.32,98.52,98.79,-1.22,9.49
202,SB1,6/11/2015 6:38:48.509,3,582,1,68.12,55.34,55.44,-18.91,4.31,4.82
203,SB2,6/11/2015 6:38:59.543,3,601,6,72.38,1417.88,1417.98,-6.84,19.11,4.76
204,SB2,6/11/2015 6:39:02.796,3,584,2,18.13,3.03,3.25,-0.22,7.85,18.06
205,SB2,6/11/2015 6:39:03.041,2,583,2,10.72,0.00,0.24,-1.70,6.31
206,SB2,6/11/2015 6:39:04.304,2,583,2,74.81,0.86,1.26,-14.58,8.59
207,SB2,6/11/2015 6:39:05.917,2,583,2,76.51,1.53,1.61,-17.54,8.70
208,SB2,6/11/2015 6:39:06.917,2,588,3,77.04,0.92,1.00,1.77,11.36
209,SB2,6/11/2015 6:39:15.432,2,588,3,69.53,8.41,8.52,1.26,11.67
210,SB1,6/11/2015 6:39:39.660,2,583,2,69.82,51.06,51.15,-19.84,8.68
211,SB1,6/11/2015 6:40:19.341,2,592,4,50.70,39.60,39.68,-0.73,23.20
212,SB1,6/11/2015 6:40:41.923,2,600,5,64.45,22.27,22.58,-1.80,12.91
213,SB1,6/11/2015 6:40:43.087,2,600,5,64.32,1.03,1.16,3.69,19.26
214,SB1,6/11/2015 6:41:28.429,6,630,12,66.76,45.14,45.34,-0.94,13.89,21.54,9.50,4.45,18.04
215,SB1,6/11/2015 6:42:19.311,2,583,2,72.23,50.18,50.88,-13.85,9.28
216,SB1,6/11/2015 6:45:19.698,3,601,6,67.43,180.30,180.39,-4.52,9.94,4.82
217,SB1,6/11/2015 6:48:09.500,2,583,2,56.99,169.65,169.80,-5.95,9.37
218,SB1,6/11/2015 6:48:54.737,2,581,1,70.70,45.12,45.24,-22.51,4.71
219,SB1,6/11/2015 6:48:54.827,2,581,1,69.38,0.04,0.09,-35.42,4.77
220,SB1,6/11/2015 6:49:35.694,2,588,3,72.70,40.82,40.87,1.49,11.33
221,SB1,6/11/2015 6:49:41.264,2,592,4,56.71,5.46,5.57,1.73,23.37
222,SB1,6/11/2015 6:49:50.644,2,583,2,62.29,9.10,9.38,-13.16,9.33
223,SB1,6/11/2015 6:50:03.489,2,583,2,68.67,12.74,12.84,-1.43,9.87
224,SB1,6/11/2015 6:50:25.075,3,582,1,68.25,21.49,21.59,-10.06,4.57,4.89
225,SB1,6/11/2015 6:51:44.838,2,592,4,74.64,79.67,79.76,0.84,21.64
226,SB2,6/11/2015 6:52:44.046,6,628,12,71.61,808.50,808.61,-1.14,13.11,4.56,20.85,9.34,21.20
227,SB1,6/11/2015 6:52:44.843,2,600,5,20.51,59.81,60.00,-0.30,16.05
228,SB2,6/11/2015 6:52:44.908,2,592,4,36.00,0.20,0.86,-0.55,25.77
229,SB1,6/11/2015 6:52:45.071,2,592,4,61.27,0.00,0.23,1.61,31.75
230,SB2,6/11/2015 6:52:45.087,2,583,2,16.56,0.00,0.18,3.59,8.76
231,SB2,6/11/2015 6:54:44.304,8,636,13,67.98,118.86,119.22,0.35,14.02,4.65,14.30,4.55,20.70,4.51,16.97
