Month,Day,Time,Lane,Class,Speed,Length,Headway,Direction
7,10,9:50:23 AM,1,3,67,1790,1,EB
7,10,9:50:25 AM,1,5,67,4475,2,EB
7,10,9:50:34 AM,1,2,72,1623,9,EB
7,10,9:50:35 AM,1,3,69,1953,1,EB
7,10,9:52:59 AM,1,3,72,3132,144,EB
7,10,9:53:02 AM,1,5,71,1768,3,EB
7,10,9:53:32 AM,1,3,61,1741,30,EB
7,10,9:53:37 AM,1,2,0,1160,5,EB
7,10,9:59:29 AM,1,3,71,3474,352,EB
7,11,9:00:31 AM,1,2,50,1483,69,EB
7,11,9:01:32 AM,1,3,69,3441,61,EB
7,11,9:01:39 AM,1,3,57,4042,7,EB
7,11,9:02:08 AM,1,3,65,3546,29,EB
7,11,9:02:10 AM,1,3,66,2136,2,EB
7,11,9:02:12 AM,1,3,62,4850,2,EB
7,11,9:02:34 AM,1,3,67,4130,22,EB
7,11,9:03:03 AM,1,2,69,1667,29,EB
7,11,9:03:06 AM,1,2,72,1656,3,EB
7,11,9:03:21 AM,1,9,67,7514,15,EB
7,11,9:03:24 AM,1,2,65,1650,3,EB
7,11,9:03:26 AM,1,2,62,1465,2,EB
7,11,9:03:29 AM,1,3,62,1975,3,EB
7,11,9:03:47 AM,1,3,68,2016,18,EB
7,11,9:04:00 AM,1,2,75,1662,13,EB
7,11,9:04:32 AM,1,2,67,1632,32,EB
7,11,9:04:52 AM,1,8,38,4312,20,EB
7,11,9:05:05 AM,1,2,70,1758,13,EB
7,11,9:06:42 AM,1,3,70,1618,97,EB
7,11,9:08:29 AM,1,2,64,1554,107,EB
7,11,9:10:12 AM,1,2,0,955,103,EB
7,11,9:11:01 AM,1,2,73,1686,49,EB
7,11,9:11:11 AM,1,3,69,2200,10,EB
7,11,9:11:20 AM,1,3,73,3832,9,EB
7,11,9:11:37 AM,1,5,64,2078,17,EB
7,11,9:11:40 AM,1,2,61,1620,3,EB
7,11,9:11:54 AM,1,3,52,2023,14,EB
7,11,9:12:21 AM,1,2,72,1513,27,EB
7,11,9:12:32 AM,1,3,69,1916,11,EB
7,11,9:12:59 AM,1,3,68,3585,27,EB
7,11,9:13:09 AM,1,2,64,1464,10,EB
7,11,9:14:06 AM,1,2,88,1747,57,EB
7,11,9:14:07 AM,1,14,0,248,1,EB
7,11,9:14:08 AM,1,2,69,1887,1,EB
7,11,9:14:19 AM,1,3,68,1794,11,EB
7,11,9:14:20 AM,1,2,68,1673,1,EB
7,11,9:14:21 AM,1,2,69,1825,1,EB
7,11,9:14:22 AM,1,3,59,1895,1,EB
7,11,9:15:21 AM,1,3,64,4114,59,EB
7,11,9:16:34 AM,1,3,63,1911,73,EB
7,11,9:16:38 AM,1,2,61,1410,4,EB
7,11,9:18:47 AM,1,3,71,1956,129,EB
7,11,9:18:52 AM,1,3,70,3677,5,EB
7,11,9:19:28 AM,1,2,57,1309,36,EB
7,11,9:19:31 AM,1,3,56,4659,3,EB
7,11,9:19:33 AM,1,3,57,3574,2,EB
7,11,9:20:31 AM,1,3,71,3731,58,EB
7,11,9:21:21 AM,1,14,71,2105,50,EB
7,11,9:22:06 AM,1,3,68,2238,45,EB
7,11,9:23:34 AM,1,2,75,1750,88,EB
7,11,9:23:50 AM,1,3,69,2089,16,EB
7,11,9:23:57 AM,1,2,0,1057,7,EB
7,11,9:24:50 AM,1,2,69,1758,53,EB
7,11,9:25:26 AM,1,5,71,2066,36,EB
7,11,9:27:35 AM,1,3,71,1989,129,EB
7,11,9:27:48 AM,1,2,66,1614,13,EB
7,11,9:29:15 AM,1,3,70,2136,87,EB
7,11,9:29:28 AM,1,2,69,1662,13,EB
7,11,9:29:39 AM,1,3,67,2104,11,EB
7,11,9:29:42 AM,1,9,65,7437,3,EB
7,11,9:32:24 AM,1,2,70,1613,162,EB
7,11,9:32:33 AM,1,3,72,1891,9,EB
7,11,9:32:56 AM,1,2,51,1691,23,EB
7,11,9:33:08 AM,1,2,44,1585,12,EB
7,11,9:33:52 AM,1,2,72,1751,44,EB
7,11,9:34:28 AM,1,1,0,1013,36,EB
7,11,9:34:56 AM,1,3,75,1866,28,EB
7,11,9:36:58 AM,1,2,69,1892,122,EB
7,11,9:37:01 AM,1,2,71,1873,3,EB
7,11,9:37:18 AM,1,2,63,1635,17,EB
7,11,9:40:14 AM,1,3,72,1884,176,EB
7,11,9:40:31 AM,1,3,72,1885,17,EB
7,11,9:40:56 AM,1,8,63,4334,25,EB
7,11,9:41:57 AM,1,3,74,1778,61,EB
7,11,9:42:08 AM,1,3,71,1883,11,EB
7,11,9:44:43 AM,1,3,76,1833,155,EB
7,11,9:45:14 AM,1,3,69,1764,31,EB
7,11,9:47:09 AM,1,3,65,1996,115,EB
7,11,9:47:53 AM,1,5,62,3433,44,EB
7,11,9:50:05 AM,1,2,72,1571,132,EB
7,11,9:50:07 AM,1,2,69,1641,2,EB
7,11,9:50:11 AM,1,14,58,4744,4,EB
7,11,9:52:45 AM,1,2,70,1556,154,EB
7,11,9:52:53 AM,1,2,69,1728,8,EB
7,11,9:52:54 AM,1,2,67,1613,1,EB
7,11,9:53:09 AM,1,6,68,2910,15,EB
7,11,9:53:10 AM,1,2,65,1492,1,EB
7,11,9:53:18 AM,1,1,0,977,8,EB
7,11,9:54:27 AM,1,2,74,1418,69,EB
7,11,9:55:14 AM,1,2,70,1784,47,EB
7,11,9:56:49 AM,1,2,62,1836,95,EB
7,11,9:58:37 AM,1,13,60,8836,108,EB
7,12,9:00:19 AM,1,2,69,1693,41,EB
7,12,9:00:49 AM,1,2,74,1761,30,EB
7,12,9:01:26 AM,1,13,63,9060,37,EB
7,12,9:01:27 AM,1,2,61,1581,1,EB
7,12,9:01:29 AM,1,3,61,2216,2,EB
7,12,9:01:31 AM,1,3,64,1919,2,EB
7,12,9:01:44 AM,1,3,68,2127,13,EB
7,12,9:03:08 AM,1,2,66,1668,84,EB
7,12,9:03:17 AM,1,3,68,4075,9,EB
7,12,9:04:33 AM,1,2,67,3114,76,EB
7,12,9:04:35 AM,1,5,66,1902,2,EB
7,12,9:04:45 AM,1,2,69,1871,10,EB
7,12,9:04:54 AM,1,2,71,1700,9,EB
7,12,9:05:02 AM,1,5,72,2293,8,EB
7,12,9:06:07 AM,1,5,76,1996,65,EB
7,12,9:06:10 AM,1,2,64,1685,3,EB
7,12,9:07:08 AM,1,5,66,4634,58,EB
7,12,9:07:38 AM,1,3,62,3401,30,EB
7,12,9:07:46 AM,1,3,70,3537,8,EB
7,12,9:09:39 AM,1,2,75,1672,113,EB
7,12,9:09:52 AM,1,2,69,1369,13,EB
7,12,9:10:09 AM,1,2,0,1240,17,EB
