Month,Day,Time,Lane,Class,Speed,Length,Headway,Direction
7,11,9:05:45 AM,1,2,72,1722,37,WB
7,11,9:05:49 AM,1,2,74,1697,4,WB
7,11,9:05:56 AM,1,2,70,1472,7,WB
7,11,9:06:04 AM,1,2,64,1378,8,WB
7,11,9:06:13 AM,1,2,63,1203,9,WB
7,11,9:07:16 AM,1,2,68,1572,63,WB
7,11,9:07:39 AM,1,2,69,1392,23,WB
7,11,9:07:59 AM,1,2,58,1422,20,WB
7,11,9:08:09 AM,1,2,72,1579,10,WB
7,11,9:08:15 AM,1,3,68,1749,6,WB
7,11,9:08:20 AM,1,2,72,1542,5,WB
7,11,9:09:27 AM,1,3,49,1398,67,WB
7,11,9:09:36 AM,1,3,67,1569,9,WB
7,11,9:09:38 AM,1,5,66,2235,2,WB
7,11,9:11:10 AM,1,14,155,7330,92,WB
7,11,9:12:22 AM,1,5,63,2103,72,WB
7,11,9:12:35 AM,1,2,67,1562,13,WB
7,11,9:12:42 AM,1,2,69,1382,7,WB
7,11,9:13:22 AM,1,2,67,1458,40,WB
7,11,9:13:29 AM,1,2,71,1390,7,WB
7,11,9:13:38 AM,1,6,66,2493,9,WB
7,11,9:14:07 AM,1,1,0,608,29,WB
7,11,9:14:20 AM,1,2,59,1276,13,WB
7,11,9:16:05 AM,1,3,68,4169,105,WB
7,11,9:16:13 AM,1,3,64,1669,8,WB
7,11,9:16:44 AM,1,3,62,3806,31,WB
7,11,9:16:50 AM,1,2,67,1626,6,WB
7,11,9:17:13 AM,1,2,70,1498,23,WB
7,11,9:17:51 AM,1,2,70,1513,38,WB
7,11,9:17:53 AM,1,3,76,1816,2,WB
7,11,9:18:25 AM,1,3,77,1499,32,WB
7,11,9:20:06 AM,1,3,57,4403,101,WB
7,11,9:20:41 AM,1,2,70,1255,35,WB
7,11,9:21:14 AM,1,2,0,1125,33,WB
7,11,9:21:20 AM,1,2,77,1448,6,WB
7,11,9:22:46 AM,1,2,70,1524,86,WB
7,11,9:22:47 AM,1,2,72,1409,1,WB
7,11,9:22:50 AM,1,2,54,1210,3,WB
7,11,9:23:01 AM,1,3,66,1854,11,WB
7,11,9:23:23 AM,1,2,75,1492,22,WB
7,11,9:23:57 AM,1,2,75,1594,34,WB
7,11,9:24:41 AM,1,2,52,1403,44,WB
7,11,9:24:42 AM,1,3,53,1701,1,WB
7,11,9:24:52 AM,1,2,56,1237,10,WB
7,11,9:24:53 AM,1,3,57,1735,1,WB
7,11,9:24:55 AM,1,3,61,2747,2,WB
7,11,9:25:10 AM,1,3,69,1478,15,WB
7,11,9:25:13 AM,1,2,68,1406,3,WB
7,11,9:25:29 AM,1,2,63,1517,16,WB
7,11,9:25:34 AM,1,2,71,1492,5,WB
7,11,9:25:53 AM,1,3,70,1782,19,WB
7,11,9:26:29 AM,1,3,72,1998,36,WB
7,11,9:26:51 AM,1,2,67,1364,22,WB
7,11,9:26:54 AM,1,3,69,1767,3,WB
7,11,9:27:44 AM,1,3,65,1729,50,WB
7,11,9:27:47 AM,1,3,66,3942,3,WB
7,11,9:28:21 AM,1,2,65,1509,34,WB
7,11,9:28:35 AM,1,3,78,1740,14,WB
7,11,9:29:38 AM,1,2,67,1328,63,WB
7,11,9:30:03 AM,1,2,72,1536,25,WB
7,11,9:30:34 AM,1,2,70,1291,31,WB
7,11,9:30:48 AM,1,3,70,1524,14,WB
7,11,9:30:52 AM,1,2,68,1425,4,WB
7,11,9:31:49 AM,1,2,63,1245,57,WB
7,11,9:32:10 AM,1,3,70,1720,21,WB
7,11,9:32:11 AM,1,3,71,1565,1,WB
7,11,9:32:17 AM,1,3,71,3165,6,WB
7,11,9:32:18 AM,1,2,72,1464,1,WB
7,11,9:32:58 AM,1,6,62,2569,40,WB
7,11,9:33:12 AM,1,3,75,1694,14,WB
7,11,9:34:09 AM,1,3,77,1816,57,WB
7,11,9:34:27 AM,1,3,75,1450,18,WB
7,11,9:34:28 AM,1,3,64,1469,1,WB
7,11,9:35:01 AM,1,3,76,1715,33,WB
7,11,9:35:59 AM,1,3,84,1986,58,WB
7,11,9:36:46 AM,1,2,76,1311,47,WB
7,11,9:37:07 AM,1,2,69,1419,21,WB
7,11,9:37:59 AM,1,3,64,4754,52,WB
7,11,9:38:09 AM,1,2,78,1446,10,WB
7,11,9:38:45 AM,1,3,64,1459,36,WB
7,11,9:39:27 AM,1,2,81,1580,42,WB
7,11,9:39:50 AM,1,3,73,1639,23,WB
7,11,9:41:11 AM,1,2,61,2606,81,WB
7,11,9:41:18 AM,1,2,62,1602,7,WB
7,11,9:41:20 AM,1,2,61,1425,2,WB
7,11,9:41:24 AM,1,2,60,1479,4,WB
7,11,9:42:49 AM,1,3,68,3634,85,WB
7,11,9:44:38 AM,1,3,64,4112,109,WB
7,11,9:44:41 AM,1,2,71,1354,3,WB
7,11,9:44:48 AM,1,3,70,1632,7,WB
7,11,9:44:50 AM,1,3,69,2022,2,WB
7,11,9:45:10 AM,1,6,61,2695,20,WB
7,11,9:45:12 AM,1,2,64,1448,2,WB
7,11,9:45:47 AM,1,2,71,1334,35,WB
7,11,9:46:22 AM,1,2,71,1547,35,WB
7,11,9:47:35 AM,1,3,65,1530,73,WB
7,11,9:48:22 AM,1,6,64,2520,47,WB
7,11,9:48:31 AM,1,9,69,6451,9,WB
7,11,9:50:06 AM,1,3,68,1446,95,WB
7,11,9:50:22 AM,1,2,62,1437,16,WB
7,11,9:50:24 AM,1,3,65,1758,2,WB
7,11,9:50:34 AM,1,2,65,1608,10,WB
7,11,9:51:13 AM,1,3,73,1725,39,WB
7,11,9:52:33 AM,1,3,65,4269,80,WB
7,11,9:52:50 AM,1,3,69,1301,17,WB
7,11,9:52:52 AM,1,2,70,1477,2,WB
7,11,9:52:55 AM,1,2,72,1430,3,WB
7,11,9:53:10 AM,1,2,62,1511,15,WB
7,11,9:53:14 AM,1,2,63,961,4,WB
7,11,9:53:18 AM,1,3,68,1715,4,WB
7,11,9:53:33 AM,1,2,71,1427,15,WB
7,11,9:53:41 AM,1,2,80,1532,8,WB
7,11,9:53:43 AM,1,2,80,1398,2,WB
7,11,9:54:29 AM,1,3,66,3562,46,WB
7,11,9:54:30 AM,1,2,64,1454,1,WB
7,11,9:55:17 AM,1,3,75,1651,47,WB
7,11,9:55:32 AM,1,2,71,1718,15,WB
7,11,9:56:48 AM,1,6,62,2706,76,WB
7,11,9:56:50 AM,1,3,68,1739,2,WB
7,11,9:57:07 AM,1,2,66,1493,17,WB
7,11,9:57:29 AM,1,2,69,1542,22,WB
7,11,9:57:58 AM,1,2,77,1583,29,WB
7,11,9:59:57 AM,1,2,61,1443,119,WB
7,12,9:00:42 AM,1,3,70,3081,71,WB
7,12,9:00:46 AM,1,2,71,1432,4,WB
7,12,9:00:55 AM,1,2,68,1451,9,WB
7,12,9:01:05 AM,1,3,69,1480,10,WB
7,12,9:01:23 AM,1,5,68,1794,18,WB
7,12,9:02:13 AM,1,3,59,1670,50,WB
7,12,9:02:16 AM,1,3,63,1385,3,WB
7,12,9:02:43 AM,1,3,72,1550,27,WB
7,12,9:04:07 AM,1,3,75,1744,84,WB
7,12,9:04:37 AM,1,2,74,1500,30,WB
7,12,9:05:27 AM,1,2,69,1450,50,WB
7,12,9:06:03 AM,1,3,62,3682,36,WB
7,12,9:06:44 AM,1,2,68,1520,41,WB
7,12,9:06:45 AM,1,2,68,1411,1,WB
7,12,9:06:46 AM,1,3,67,1706,1,WB
7,12,9:06:48 AM,1,2,71,1597,2,WB
7,12,9:07:04 AM,1,2,72,1394,16,WB
7,12,9:08:18 AM,1,2,65,1511,74,WB
7,12,9:08:19 AM,1,2,67,1510,1,WB
7,12,9:08:34 AM,1,3,69,1614,15,WB
7,12,9:09:09 AM,1,3,68,1435,35,WB
7,12,9:09:28 AM,1,2,69,1366,19,WB
7,12,9:09:40 AM,1,3,74,1473,12,WB
7,12,9:10:06 AM,1,2,63,1268,26,WB
7,12,9:10:09 AM,1,2,63,1367,3,WB
7,12,9:12:19 AM,1,2,76,1513,130,WB
7,12,9:13:06 AM,1,2,69,1473,47,WB
7,12,9:13:07 AM,1,3,71,1756,1,WB
7,12,9:13:29 AM,1,2,66,1459,22,WB
7,12,9:13:41 AM,1,2,53,1375,12,WB
7,12,9:13:42 AM,1,2,54,1547,1,WB
7,12,9:13:51 AM,1,3,68,1784,9,WB
7,12,9:16:26 AM,1,2,64,1597,155,WB
7,12,9:17:03 AM,1,2,61,1370,37,WB
7,12,9:17:18 AM,1,2,65,1571,15,WB
7,12,9:17:21 AM,1,2,65,1466,3,WB
7,12,9:18:39 AM,1,5,65,3790,78,WB
7,12,9:19:55 AM,1,2,68,1330,76,WB
7,12,9:19:59 AM,1,6,74,2575,4,WB
7,12,9:20:05 AM,1,2,68,1425,6,WB
7,12,9:20:11 AM,1,2,69,1470,6,WB
7,12,9:20:19 AM,1,2,72,1265,8,WB
7,12,9:20:26 AM,1,2,68,1466,7,WB
7,12,9:20:47 AM,1,3,68,1610,21,WB
7,12,9:21:06 AM,1,2,77,1634,19,WB
7,12,9:22:00 AM,1,2,64,1429,54,WB
7,12,9:22:08 AM,1,2,69,1616,8,WB
7,12,9:22:10 AM,1,2,67,1633,2,WB
7,12,9:23:15 AM,1,2,74,1468,65,WB
7,12,9:25:48 AM,1,2,69,1573,153,WB
7,12,9:26:02 AM,1,2,65,1494,14,WB
7,12,9:26:05 AM,1,2,65,1612,3,WB
7,12,9:26:07 AM,1,2,68,1485,2,WB
7,12,9:26:09 AM,1,3,71,1396,2,WB
7,12,9:26:31 AM,1,2,85,1668,22,WB
7,12,9:26:51 AM,1,2,77,1638,20,WB
7,12,9:27:08 AM,1,2,73,1460,17,WB
7,12,9:27:41 AM,1,9,61,6918,33,WB
7,12,9:29:07 AM,1,2,65,1579,86,WB
7,12,9:29:27 AM,1,2,70,1462,20,WB
7,12,9:29:28 AM,1,2,73,1644,1,WB
7,12,9:30:05 AM,1,2,70,1425,37,WB
7,12,9:30:09 AM,1,2,70,1467,4,WB
7,12,9:30:24 AM,1,3,75,1850,15,WB
7,12,9:30:43 AM,1,3,82,1886,19,WB
7,12,9:30:48 AM,1,2,76,1648,5,WB
7,12,9:30:57 AM,1,3,79,1692,9,WB
7,12,9:31:23 AM,1,3,71,1765,26,WB
7,12,9:31:44 AM,1,2,67,1441,21,WB
7,12,9:31:45 AM,1,2,68,1340,1,WB
7,12,9:32:48 AM,1,3,66,1659,63,WB
7,12,9:32:51 AM,1,2,65,1038,3,WB
7,12,9:33:57 AM,1,2,67,1643,66,WB
7,12,9:34:10 AM,1,3,61,1434,13,WB
